"Timestamp","ServiceName","SeverityText","Body","arrayElement(LogAttributes, 'prompt.content')"
"2026-01-28T07:11:18.635000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:17.573000000Z","claude-code","info","claude_code.tool_result",""
"2026-01-28T07:11:16.189000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:16.044000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:15.280000000Z","claude-code","info","claude_code.tool_result",""
"2026-01-28T07:11:12.728000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:12.018000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:12.013000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:09.394000000Z","claude-code","info","claude_code.api_request",""
"2026-01-28T07:11:08.347000000Z","insight-agent","info","user_prompt","List all available video sources and show me the clips with the highest hook scores.
"
